,1.1.1) Internet users,1.2.2) Average fixed broadband download speed,1.2.7) Bandwidth capacity,1.3.1) Network coverage (min. 2G),1.3.2) Network coverage (min. 3G),1.3.3) Network coverage (min. 4G),1.3.5) Government initiatives to make Wi-Fi available,1.3.6) Private sector initiatives to make Wi-Fi available,1.4.1) Urban electricity access,1.4.2) Rural electricity access,2.1.1) Smartphone cost (handset),2.1.2) Mobile phone cost (prepaid tariff),2.1.3) Mobile phone cost (postpaid tariff),2.1.4) Fixed-line monthly broadband cost,2.2.2) Wireless operators' market share,2.2.3) Broadband operators' market share,3.1.1) Availability of local news in local languages,3.1.2) Concentration of websites using country-level domains,3.1.3) Availability of e-Government services in the local language,3.2.1) e-Finance content,3.2.3) e-Health content,3.2.5) e-Entertainment usage,3.2.6) e-Commerce content,3.2.8) Open data policies,4.1.1) Level of literacy,4.1.2) Educational attainment,4.1.3) Support for digital literacy,4.1.4) Level of web accessibility,4.2.1) Privacy regulations,4.2.2) Trust in online privacy,4.2.3) Trust in Government websites and apps,4.2.4) Trust in Non-government websites and apps,4.2.5) Trust in information from social media,4.2.6) e-Commerce safety,4.3.1.1) Comprehensive female e-inclusion plan,4.3.1.2) Female digital skills training plan,4.3.1.3) Female STEM education plan,4.3.2) Government e-inclusion strategy,4.3.3) National broadband strategy,4.3.4) Funding for broadband buildout,4.3.5) Technology-neutrality policy for spectrum use,4.3.6) National digital identification system,BG2) Population,BG5) GINI coefficient,BG7) Total electricity access,BG9) Percentage of schools with Internet access,BG10) Global Peace Index,BG11) Democracy Index,BG12) Corruption Perceptions Index,BG13) EIU Business Environment Rankings,BG14) UN E-Government Development Index,BG19) Internet users (percent of population),BG20) Male internet users,BG21) Female internet users,BG24) Total fixed line broadband subscribers
196,69.1,12.77,71965.0,99.9,99.4,93.0,1.0,2.0,100.0,100.0,66.9,2.199,1.055,1.24,3698.0,2811.0,2.0,3.0,2.0,2.0,3.0,98.0,80.0,2.0,97.7,10.3,3.0,0.0,2.0,32.0,36.0,26.0,16.0,71.7,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,10.6,34.4,100.0,93.9,2.0,7.2,44.0,5.6,0.7,69.1,69.0,61.0,3615029.0
197,71.0,16.58,90226.0,99.9,99.6,98.0,2.0,2.0,100.0,100.0,68.9,2.199,0.95,1.37,3660.0,2892.0,2.0,3.0,2.0,2.0,3.0,96.0,80.0,2.0,97.7,10.5,3.0,3.0,2.0,36.0,28.0,30.0,26.0,70.2,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,10.5,34.4,100.0,72.0,2.0,7.3,48.0,5.8,0.8,69.9,68.0,62.0,3778268.0
198,76.5,22.6,116435.0,99.9,99.7,98.8,2.0,2.0,100.0,100.0,70.8,2.199,0.95,1.37,3617.0,3244.0,4.0,3.0,1.0,2.0,2.0,94.0,77.6,2.0,97.7,10.5,3.0,3.0,2.0,34.0,34.0,28.0,28.0,64.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,10.5,34.4,100.0,72.0,1.9,7.3,45.0,5.9,0.8,72.2,72.0,66.0,3961864.0
199,78.5,27.57,140793.0,99.9,99.7,98.8,2.0,2.0,100.0,100.0,70.7,0.668,0.95,1.37,3640.0,3317.0,4.0,3.0,2.0,2.0,3.0,94.0,77.6,2.0,97.9,10.5,3.0,3.0,2.0,28.0,26.0,8.0,10.0,54.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,10.4,34.4,100.0,72.0,1.9,7.4,48.0,6.1,0.8,75.7,76.0,69.0,4118113.0
200,17.4,7.49,23219.0,100.0,92.0,20.7,0.0,0.0,97.4,81.4,51.8,4.2,6.313,6.31,3905.0,4595.0,1.0,1.0,2.0,2.0,1.0,88.0,21.4,2.0,79.1,6.4,1.0,2.0,2.0,36.0,38.0,26.0,22.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,16.6,48.3,91.92,0.0,2.3,5.9,28.0,5.4,0.3,28.8,42.0,28.0,459847.0
201,20.5,12.66,21493.0,100.0,95.0,40.35,1.0,2.0,99.57,83.71,49.6,3.93,8.119,6.08,3826.0,4856.0,1.0,2.0,2.0,2.0,1.0,88.0,21.4,2.0,79.1,6.4,3.0,2.0,1.0,44.0,46.0,38.0,28.0,66.7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,16.9,48.3,93.3,0.0,2.2,5.9,28.0,5.4,0.5,34.5,46.0,28.0,506000.0
202,23.6,10.69,18591.0,100.0,95.0,40.35,2.0,2.0,99.59,84.2,51.0,3.726,7.946,5.95,3900.0,4697.0,2.0,1.0,2.0,2.0,1.0,96.1,49.1,2.0,79.1,6.5,3.0,2.0,1.0,56.9,43.1,39.2,35.3,46.8,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,17.2,48.3,94.7,44.0,2.2,5.9,28.0,5.4,0.5,40.7,42.0,36.0,531000.0
203,23.6,10.0,18591.0,100.0,95.0,40.35,2.0,1.0,91.9,93.8,50.2,3.513,7.946,5.95,5012.0,4617.0,4.0,2.0,2.0,2.0,1.0,96.0,37.5,2.0,79.1,6.5,3.0,2.0,0.0,60.0,38.0,32.0,22.0,52.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,17.6,48.3,94.7,44.0,2.3,5.6,27.0,5.4,0.5,40.7,45.0,35.0,531000.0
204,23.6,13.41,18591.0,100.0,95.0,40.35,2.0,0.0,99.6,84.8,50.6,3.365,7.946,5.95,5002.0,4590.0,4.0,2.0,2.0,2.0,1.0,88.0,37.5,2.0,79.1,6.5,3.0,3.0,0.0,36.0,42.0,26.0,26.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,17.9,48.3,94.7,44.0,2.3,5.3,26.0,5.4,0.5,40.7,48.0,34.0,531000.0
205,6.4,2.61,2133.0,99.1,39.1,10.3,0.0,0.0,53.4,10.8,23.4,16.408,14.765,80.68,3886.0,5884.0,3.0,0.0,0.0,1.0,1.0,82.0,7.9,0.0,30.5,2.7,0.0,3.0,2.0,42.0,52.0,42.0,36.0,55.6,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,11.7,33.7,33.5,20.2,2.2,3.1,25.0,4.0,0.1,8.2,23.0,10.0,1000.0
