,1.1.4) Gender gap in internet access,1.2.2) Average fixed broadband download speed,1.2.7) Bandwidth capacity,1.3.1) Network coverage (min. 2G),1.3.2) Network coverage (min. 3G),1.3.3) Network coverage (min. 4G),1.3.5) Government initiatives to make Wi-Fi available,1.3.6) Private sector initiatives to make Wi-Fi available,1.4.1) Urban electricity access,1.4.2) Rural electricity access,2.1.1) Smartphone cost (handset),2.1.2) Mobile phone cost (prepaid tariff),2.1.3) Mobile phone cost (postpaid tariff),2.1.4) Fixed-line monthly broadband cost,2.2.2) Wireless operators' market share,2.2.3) Broadband operators' market share,3.1.1) Availability of local news in local languages,3.1.2) Concentration of websites using country-level domains,3.1.3) Availability of e-Government services in the local language,3.2.1) e-Finance content,3.2.3) e-Health content,3.2.5) e-Entertainment usage,3.2.6) e-Commerce content,3.2.8) Open data policies,4.1.1) Level of literacy,4.1.2) Educational attainment,4.1.3) Support for digital literacy,4.1.4) Level of web accessibility,4.2.1) Privacy regulations,4.2.2) Trust in online privacy,4.2.3) Trust in Government websites and apps,4.2.4) Trust in Non-government websites and apps,4.2.5) Trust in information from social media,4.2.6) e-Commerce safety,4.3.1.1) Comprehensive female e-inclusion plan,4.3.1.2) Female digital skills training plan,4.3.1.3) Female STEM education plan,4.3.2) Government e-inclusion strategy,4.3.3) National broadband strategy,4.3.4) Funding for broadband buildout,4.3.5) Technology-neutrality policy for spectrum use,4.3.6) National digital identification system,BG2) Population,BG5) GINI coefficient,BG7) Total electricity access,BG9) Percentage of schools with Internet access,BG10) Global Peace Index,BG11) Democracy Index,BG12) Corruption Perceptions Index,BG13) EIU Business Environment Rankings,BG14) UN E-Government Development Index,BG17) Internet access gender gap,BG18) Mobile phone access gender gap,BG19) Internet users (percent of population),BG20) Male internet users,BG21) Female internet users,BG24) Total fixed line broadband subscribers
443,11.5,134.75,49885.0,99.96,99.96,92.56,2.0,2.0,100.0,100.0,57.1,0.831,0.436,0.82,2835.0,3240.0,4.0,3.0,1.0,2.0,2.0,98.0,74.5,2.0,98.8,11.0,3.0,2.0,2.0,54.0,64.0,34.0,26.0,66.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,19.4,36.0,100.0,78.3,1.6,6.4,47.0,6.5,0.7,9.0,0.0,70.7,4.020618556701031,3.5567010309278353,262216.49484536087
444,9.5,159.45,49885.0,99.96,99.96,98.13,2.0,2.0,100.0,100.0,66.2,0.118,0.436,0.82,2850.0,3545.0,4.0,3.0,2.0,2.0,2.0,90.0,74.5,2.0,98.8,11.0,2.0,2.0,2.0,44.0,32.0,20.0,16.0,68.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,19.2,36.0,100.0,78.3,1.5,6.5,44.0,6.6,0.8,7.0,4.0,73.7,3.854166666666667,3.4895833333333335,274875.0
446,1.3,37.07,52919.0,90.0,75.0,59.0,2.0,2.0,100.0,100.0,63.6,0.758,0.644,0.74,2569.0,2608.0,2.0,3.0,2.0,2.0,3.0,90.0,71.0,2.0,99.7,11.8,0.0,1.0,2.0,22.0,66.0,40.0,30.0,46.9,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,148.6,37.2,100.0,80.0,3.0,3.2,29.0,5.4,0.7,1.0,0.0,73.1,0.5114401076716016,0.5047106325706595,185213.33781965007
447,5.1,41.7,68026.0,91.0,77.0,62.0,2.0,2.0,100.0,100.0,63.6,0.758,0.782,0.45,2535.0,2507.0,2.0,3.0,2.0,2.0,3.0,92.0,71.0,2.0,99.7,12.0,3.0,1.0,2.0,40.0,40.0,30.0,30.0,56.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,148.8,37.5,100.0,80.0,3.2,3.2,29.0,5.4,0.8,4.0,-1.0,76.0,0.5241935483870968,0.4973118279569892,209027.11693548385
448,5.2,52.32,64072.0,91.0,78.0,70.0,2.0,2.0,100.0,100.0,63.6,0.758,0.782,0.45,2517.0,2431.0,4.0,3.0,2.0,2.0,3.0,86.0,77.9,2.0,99.7,12.0,3.0,1.0,2.0,36.0,36.0,26.0,10.0,40.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,148.9,37.5,100.0,80.0,3.1,2.9,28.0,5.4,0.8,4.0,1.0,80.9,0.5171255876427132,0.49026192075218267,215330.96037609133
449,3.8,65.95,62843.0,98.9,87.7,87.7,2.0,2.0,99.72,100.0,73.5,0.316,0.782,0.45,2497.0,2406.0,4.0,3.0,2.0,2.0,3.0,98.0,77.9,2.0,99.7,12.0,3.0,1.0,2.0,30.0,30.0,24.0,18.0,28.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,149.0,37.5,100.0,80.0,3.0,3.1,28.0,5.5,0.8,3.0,-1.0,82.6,0.5234899328859061,0.5033557046979866,221669.09395973154
451,52.6,11.58,8152.0,99.92,92.08,62.0,2.0,1.0,71.8,12.29,21.9,3.87,36.624,142.42,3648.0,3591.0,2.0,3.0,1.0,1.0,1.0,88.0,37.0,1.0,70.8,4.1,3.0,1.0,2.0,60.0,52.0,22.0,18.0,69.1,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,12.0,43.7,34.1,19.0,2.2,3.1,54.0,5.3,0.3,10.0,16.0,20.0,1.5833333333333333,0.75,1810.0833333333333
452,46.7,11.34,8850.0,99.92,93.37,89.0,2.0,1.0,69.35,37.19,23.0,4.66,35.103,136.51,3687.0,2694.0,1.0,3.0,1.0,1.0,2.0,86.0,37.0,1.0,70.8,4.3,3.0,1.0,2.0,38.0,50.0,40.0,32.0,52.6,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,12.3,43.7,34.72,41.3,2.1,3.2,55.0,5.3,0.5,7.0,11.0,21.8,1.2195121951219512,0.6504065040650406,1770.731707317073
453,33.3,12.84,8850.0,99.92,96.6,96.6,2.0,1.0,76.0,43.5,3.3,3.393,35.103,136.51,5021.0,3018.0,4.0,3.0,1.0,1.0,3.0,92.0,30.9,1.0,73.2,4.4,3.0,1.0,2.0,58.0,54.0,38.0,40.0,56.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,12.6,43.7,34.72,41.3,2.1,3.4,56.0,5.3,0.5,5.0,11.0,21.8,1.1904761904761905,0.7936507936507937,595.3174603174604
454,46.7,16.96,8850.0,99.94,98.9,98.9,2.0,1.0,76.0,47.7,18.3,2.752,35.103,136.51,5140.0,2866.0,4.0,3.0,1.0,1.0,3.0,72.0,30.9,1.0,73.2,4.4,3.0,2.0,2.0,66.0,54.0,48.0,38.0,70.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,13.0,43.7,34.72,60.7,2.0,3.2,53.0,5.3,0.5,7.0,17.0,21.8,1.1538461538461537,0.6153846153846154,683.4615384615385
